CURRENT_DEPARTMENT,CURRENT_JOB_TITLE,PREVIOUS_DEPARTMENT,PREVIOUS_JOB_TITLE,COURSE,DATE,SKILL
Technology and Digital Innovation,CRM Systems Analyst & Developer Senior Team Member,,Back End Developer Team Member,Scrum Master Certification: Scrum Methodologies,2023-06-30T18:48:21.000Z,
Human Resources and Administration,Security and Control Team Member,,Security and Control Team Member AT,Just Reading and Writing English 2,2022-09-13T09:26:12.000Z,
Engineering,IP & Enterprise Maintenance Engineer Specialist,,Enterprise Maintenance Engineer,Essentials of Management and Strategic Planning,2023-07-09T14:26:25.000Z,
Commercial Support Department,Business Services Internal Collection Senior Professional,Commercial Support Department,Business Services Collection Team Member,Presentation skills: Speechwriting and Storytelling,2022-02-12T02:29:28.000Z,
Enterprise Business,Enterprise Mobile & Broadband Marketing Senior Team Member,Enterprise Business,Enterprise Mobile & Broadband Marketing Team Member,Introduction to Business Analytics: Communicating with Data ,2023-07-13T09:20:38.000Z,
Commercial Support Department,Delivery & Back Office Support Senior Team Member,Commercial Support Department,Customer Service Advisor AT,Managing Customer Expectations with Jagdish Sheth,2023-07-10T12:00:33.000Z,
Commercial Support Department,Enterprise & Home Internet Complaints Engineer Team Member,Commercial Support Department,Help Desk Enterprise Helper Team Member TM,Effective Communication Capstone Project,2022-08-09T11:12:14.000Z,
Consumer Business,Home Internet Acquisitions Senior Professional,,Sales Intelligence and Development Team Member,Managing Data Analysis,2022-03-23T13:07:58.000Z,
Commercial Support Department,Mobile Solutions & Zain Wallets Complaints Team Member,Commercial Support Department,Help Desk Team Member,"Speak English Professionally: In Person, Online & On the Phone",2023-08-07T08:27:35.000Z,
Consumer Business,,Consumer Business,Tabrbour Consumer Sales Consultant,Write Professional Emails in English,2022-01-19T11:31:17.000Z,
Human Resources and Administration,Talent Acquisition Senior Team Member,Human Resources and Administration,Talent Acquisition Team Member,Getting Started with Power BI Desktop,2022-09-07T22:10:56.000Z,
Consumer Business,Sales Development Account Senior Professional,Consumer Business,Sales Development Account Manager PR,Managing Data Analysis,2021-08-19T05:33:01.000Z,
Enterprise Business,Key Account's Sales Manager,Enterprise Business,Key Account's Sales Manager M,Introduction to Data Analytics,2022-06-15T07:23:18.000Z,
Enterprise Business,Key Account's Specialist,,Key Account's  Manager TLT,Digital Transformation,2022-09-22T13:39:16.000Z,
Engineering,Backbone & Optical Network Professional,Engineering,Backbone & Optical Network Team Member,Negotiation  Fundamentals,2022-03-22T17:28:56.000Z,
Engineering,RAN Optimization Engineer Specialist,Engineering,RAN Optimization Engineer,Using Python to Access Web Data,2022-12-14T09:43:04.000Z,
Technology and Digital Innovation,DevOps Mediation & Provisioning Engineer Professional,Technology and Digital Innovation,DevOps & Charging System Engineer,Introduction to Data Analytics,2022-04-25T10:14:26.000Z,
Engineering,PMO Senior Division Leader,,Project Analyst Team Leader,Foundations of Project Management,2023-11-11T14:54:34.000Z,
Enterprise Business,SMEs/SOHOs Account's Professional,,SMEs/SOHOs  Account's Manager,Write Professional Emails in English,2021-11-08T13:01:08.000Z,
Commercial Support Department,Work Force Management & Optimization Senior Specialist,Commercial Support Department,Operation Work Force Management Team Leader,"Work Smarter, Not Harder: Time Management for Personal & Professional Productivity",2021-12-28T09:09:31.000Z,
Corporate Communications and Sustainability,Esports & Exhibitions Senior Division Leader,,Exibitions and Activations Team Leader,Business Writing,2023-09-22T10:50:32.000Z,
Human Resources and Administration,Receiptionist Senior Team Member,Human Resources and Administration,Receiptionist Team Member,Business English: Networking,2022-03-23T03:43:54.000Z,
Engineering,IP & Transport NOC Engineer Professional,,NOC Engineer,Negotiation  Fundamentals,2021-10-25T06:14:38.000Z,
Engineering,MW Planning & Transmission Implementation Senior Division Leader,Engineering,MW Planning & Transmission Implementation Team Leader,Negotiation  Fundamentals,2022-03-14T06:54:26.000Z,
Consumer Business,,,CVM & Base Management Team Member,Teamwork Skills: Communicating Effectively in Groups,2023-09-25T05:40:23.000Z,
Engineering,RAN Optimization Engineer Team Member,Engineering,RAN Optimization Engineer AT,Negotiation  Fundamentals,2023-08-06T11:26:20.000Z,
Consumer Business,Distribution & System Support Senior Team Member,Commercial Support Department,Customer Service Advisor PT,Excel Fundamentals for Data Analysis,2022-10-20T11:11:54.000Z,
Commercial Support Department,Customer Service Advisor PT,Commercial Support Department,Customer Service Advisor PT,"Work Smarter, Not Harder: Time Management for Personal & Professional Productivity",2021-08-25T19:24:43.000Z,
"Governance, Risk, and Compliance",Internal Audit Senior Division Leader,,Internal Auditor Team Member,Data Visualization and Dashboards with Excel and Cognos,2021-10-26T18:31:01.000Z,
Enterprise Business,Government Account's Specialist,,SMEs/SOHOs  Account's Manager TM,ظ…ظ‡ط§ط±ط© ظ…ط®ط§ط·ط¨ط© ط§ظ„ط¬ظ…ظ‡ظˆط± | Public Speaking Skills,2023-05-17T09:46:20.000Z,
Engineering,NOC Shift Senior Professional,,NOC Operator PR,Foundations of Project Management,2023-08-28T10:33:57.000Z,
Consumer Business,Product Development Division Leader,,CBIO Team Member,Introduction to Data Analytics,2022-11-12T19:34:06.000Z,
Consumer Business,Sales Development Account Professional,Consumer Business,Sales Development Account Manager PR,Econometrics,2022-02-11T14:23:13.000Z,
Corporate Communications and Sustainability,CER Team Member,,CER Team Member /Zinc,Creative Thinking: Techniques and Tools for Success,2021-11-20T08:06:08.000Z,
Commercial Support Department,Customer Service Mobile Solutions Senior Division Leader,Commercial Support Department,Customer Service Center People Management Team Leader ,Introduction to Data Analytics,2023-11-29T06:26:27.000Z,
Engineering,Regional RAN Optimization Engineer Team Member,,RAN Optimization Intern,Python Data Structures,2022-12-12T13:21:12.000Z,
Engineering,Transmission Technician Senior Professional,Engineering,Transmission Technician Professional,Introduction to Negotiation: A Strategic Playbook for Becoming a Principled and Persuasive Negotiator,2021-10-14T08:20:50.000Z,
,,,NOC Engineer,Introduction to Data Analytics,2021-11-06T15:19:05.000Z,
Engineering,RAN Optimization Engineer PT,Engineering,RAN Optimization Engineer PT,Python Data Structures,2022-12-19T07:32:58.000Z,
,,Consumer Business,Tabrbour Consumer Sales Consultant PT,Quantitative Methods in Finance,2022-02-08T17:15:56.000Z,
Consumer Business,Wehdat Consumer Sales Consultant PT,Consumer Business,Taj Mall Consumer Sales Consultant PT,"Integrated Marketing Communications: Advertising, Public Relations, Digital Marketing and more",2022-11-20T19:34:58.000Z,
Engineering,IP & Enterprise Tower Technician Senior Professional,,RAN Technician,International and Cross-Cultural Negotiation,2021-08-31T08:43:09.000Z,
Technology and Digital Innovation,CRM & Business Systems Manager,,CRM & Business Analyst Developer Team Leader,Agile Organization,2022-09-30T16:39:12.000Z,
,,Consumer Business,Business Simulation Team Member,Assessment for Data Analysis and Visualization Foundations,2022-04-28T07:16:38.000Z,
Commercial Support Department,Data Base Credit Control Senior Team Member,Commercial Support Department,Legal Collection Team Member,Presentation skills: Speechwriting and Storytelling,2022-06-03T03:45:12.000Z,
Commercial Support Department,Telesales Operations Division Leader,Commercial Support Department,Telesales Operations Team Leader,Inspiring and Motivating Individuals,2023-07-15T23:12:12.000Z,
Finance,Financial Planning & Reporting / Consumer Specialist,,Management Accounting Team Member 1,Corporate Strategy,2021-11-14T19:14:58.000Z,
Consumer Business,Irbid City Center Shop Senior Division Leader,Consumer Business,Irbid Shop Manager TL,Data Structures,2021-08-13T20:46:43.000Z,
Engineering,IP Network Senior Division Leader,Engineering,IP Network Engineer,Getting Started with Leadership,2023-10-26T22:11:58.000Z,
,,Consumer Business,Al Thania Shop Manager TL,Introduction to Data Analytics,2022-01-27T19:09:20.000Z,
Technology and Digital Innovation,Internal Investigations Senior Team Member,,Integration Team Member PT,Introduction to the Internet of Things and Embedded Systems,2022-08-04T13:50:28.000Z,
Engineering,RAN Optimization Senior Division Leader,Engineering,RAN Optimization Team Leader,Python Data Structures,2022-12-28T11:23:36.000Z,
Commercial Support Department,Enterprise & Home Internet Complaints Engineer Team Member,Commercial Support Department,Help Desk Enterprise Helper Team Member TM,Introduction to Data Analytics,2023-07-06T04:36:19.000Z,
Technology and Digital Innovation,Charging and Billing Planning Engineer Team Member,Technology and Digital Innovation,Charging and Billing Planning Engineer,Organizational Behavior: How to Manage People,2023-12-28T07:18:27.000Z,
Consumer Business,VIP Accounts (Darak) Senior Professional,Consumer Business,VIP Accounts Manager (Darak) PR,Teamwork Skills: Communicating Effectively in Groups,2023-09-26T11:59:31.000Z,
Consumer Business,FTTH Area Senior Division Leader,,FTTH  Area Manager TL,"Identifying, Attracting, and Growing Your Digital Audience",2022-03-01T09:39:42.000Z,
,,Consumer Business,Taj Mall Consumer Sales Consultant PT,Managing Data Analysis,2021-08-14T22:26:03.000Z,
Corporate Communications and Sustainability,CER Team Member,Corporate Communications and Sustainability,CER Team Member AT,Control Flow in RPA,2023-10-19T10:50:39.000Z,
Finance,Bank Reconciliation Division Leader,,Subsidiaries Team Leader,Personality Types at Work,2021-11-09T14:19:42.000Z,
Technology and Digital Innovation,SAN & UNIX Team Member,Technology and Digital Innovation,SAN & UNIX Team Member TM,"ETL and Data Pipelines with Shell, Airflow and Kafka",2023-09-17T12:26:20.000Z,
Finance,Fraud Analyst Team Member,Finance,Fraud Analyst Team Member,Excel Power Tools for Data Analysis,2023-07-12T09:47:56.000Z,
Consumer Business,International Gateway Senior Professional,Consumer Business,International Gateway Team Member,Research Report: Delivering Insights,2023-07-14T19:24:19.000Z,
Engineering,Transmission Enterprise solutions Engineer Team Member,Engineering,Transmission Enterprise solutions Engineer,Python Data Structures,2022-11-14T11:43:08.000Z,
Commercial Support Department,Commercial Support & Quality Of Service Senior Team Member,Commercial Support Department,Commercial Support & Quality Of Service Team Member,Successful Presentation,2021-11-08T17:10:13.000Z,
Commercial Support Department,Data Base Credit Control Senior Division Leader,Commercial Support Department,Data Base Credit Control Team Leader,Data Visualization in Excel,2022-02-27T08:26:39.000Z,
Engineering,RAN IBS Professional,Engineering,RAN IBS Team Member,Fundamentals of Project Planning and Management,2023-08-21T07:02:09.000Z,
Engineering,IP & Transport NOC Engineer Team Member,Engineering,IP & Transport NOC Engineer,Teamwork Skills: Communicating Effectively in Groups,2023-08-13T10:52:05.000Z,
Commercial Support Department,Customer Service Mobile Solutions Division Leader,Commercial Support Department,Customer Service Center People Management Team Leader TL,Introduction to Data Analytics,2023-08-23T09:33:52.000Z,
,,Consumer Business,Business Simulation Team Member,Machine Learning for Data Analysis,2022-06-02T05:57:49.000Z,
Finance,Commercial Procurement Professional,Finance,Procurement Team Member,Organizational Behavior: How to Manage People,2022-05-31T08:28:51.000Z,
Consumer Business,Advertising Senior Team Member,,Social Media TM,"Content, Advertising & Social IMC",2022-03-29T16:08:40.000Z,
Commercial Support Department,Mobile Solutions & Zain Wallets Complaints Senior Professional,Commercial Support Department,Help Desk GSM Professional,Customer Centricity as Competitive Advantage - Jagdish Sheth,2023-11-24T12:18:12.000Z,
Engineering,IP & Transport NOC Engineer Professional,,NOC Engineer,Negotiation  Fundamentals,2023-09-03T04:56:41.000Z,
,,,CVM & Base Management Team Member,Data Analysis Tools,2022-08-24T00:03:15.000Z,
Enterprise Business,Enterprise Marketing Solutions Senior Professional,Enterprise Business,Enterprise Marketing Solutions Team Member, Storytelling in Branding and Content Marketing ,2023-08-22T23:05:31.000Z,
Enterprise Business,Key Account's Senior Professional,,Key Account's  Manager PR,ظ…ظ‡ط§ط±ط© ظ…ط®ط§ط·ط¨ط© ط§ظ„ط¬ظ…ظ‡ظˆط± | Public Speaking Skills,2023-05-27T16:21:46.000Z,
Engineering,IP & Enterprise Tower Technician Senior Professional,,RAN Technician,Negotiation  Fundamentals,2023-08-08T21:34:21.000Z,
Consumer Business,System Development & Support Senior Team Member,Commercial Support Department,Customer Service Operation,Digital Channel Planning and E-Commerce Strategy,2023-06-30T17:16:11.000Z,
